issue,User,response,issue_row_number
"""Transaction Limits & Approvals""","""Thank you. You're a lifesaver!  This is much better.  I hope you guys can fix this problem.  I can't imagine having to deal with this every time I need to send money abroad.""","""I completely understand your concern. We are committed to improving our system's reliability and addressing any issues that arise. We are working on resolving these system errors as quickly as possible.  Please let me know if you have any other questions or concerns. Have a good day.""",1
"""Transaction Limits & Approvals""","""Thank you. I hope this doesn't happen again.""","""""",2
"""Investment Account Setup & Funding""","""I'll think about it. Let's see how things go from here.""","""""",1
"""App Login & Account Access""","""I've tried that too!  It's not working! It's like the app is deliberately trying to frustrate me! I'm going to have to switch to a different bank if this doesn't get sorted out soon!""","""I completely understand your frustration. This sounds like a technical issue. Please hold while I connect you with a human agent who can assist you further. They will be able to look into the issue and see if there's a way to resolve it immediately.""",1
"""App Login & Account Access""","""Thanks. I hope this doesn't happen again.""","""""",2
"""App Navigation & User Interface"""," ""Thank you. ""","""""",1
Account Name & Contact Information Updates,"""Alright.  I hope this gets fixed.  I'll send the documents now. ""","""Excellent! I have received your documents.  We'll process the update right away and you'll receive a confirmation email once it is completed.  We apologize for the inconvenience and appreciate your patience.""",1
"""Account Maintenance Fees"""," ""Thank you."" "," """"",1
Account Freezing & Unfreezing,"""Thank you. I hope this doesn't happen again.""","""""",1
"""Account Access & Login Issues""","""Thank you.""",""" """,1
"""App Notifications & Alerts"""," "" """," "" """,1
Transaction History & Reconciliation,"""Thank you.""","""""",1
Failed Transactions & Error Resolution,"""24 hours? My daughter's school fees are due tomorrow!  I can't wait! What else can you do?""","""I apologize for the delay. I understand the urgency of the situation. Let me manually process the transfer to ensure the funds reach your beneficiary's account by tomorrow. This is a one-time exception.  I will process it now. Can you please confirm the beneficiary's details again?""",1
Failed Transactions & Error Resolution,"""Thank you.""","""""",2
Card Ordering & Delivery,"""Are you kidding me?  I gave you the correct address! I haven't moved.  This is a joke!  I'm going to file a complaint with the RBI if this doesn't get resolved!""","""I apologize for the inconvenience.  Let me escalate this to our delivery team who can investigate further. Please provide your order ID and your registered mobile number.  They will contact you within 24 hours to resolve this issue.  """,1
Card Ordering & Delivery,"""Fine.  Let's see if you're going to keep your word.""""","""""",2
"""Card PIN & Security Settings""","""It's ending in 1234. You see? The PIN should be the one I set when I got the card. It's 1234! It just doesn't work!"""," ""I'm sorry to hear about the issue. It seems like you might be facing a temporary technical glitch. Let me check if there are any known issues related to PIN setting on the card. Please hold for a moment.""",1
"""Card Usage Limits & Restrictions""","""Thanks.""","""""",1
Investment Options & Portfolios,""""""," """"",1
Investment Withdrawal & Redemption,"""Fine.""","""""",1
