theme,issue,user,response
"Account Setup & Verification","Failed International Transfer (Insufficient Funds)","Thank you."," "
"Account Setup & Verification","Unable to verify my PAN card!","10 minutes? You guys are hopeless! I can't believe this is happening. I need to finish my KYC asap.","I apologize for the inconvenience. Your PAN card has been successfully verified now. You can access all account features and services. Please let us know if you have any further questions or concerns."
"Account Setup & Verification","Unable to verify my PAN card!","Finally! I've wasted so much time on this. This is unacceptable.","We understand and we are committed to improving our system and making it more user friendly. We appreciate your patience. Please let us know if you have any other questions."
"Account Setup & Verification","Unable to verify my PAN card!","I'm just glad it's done! ",""
Theme name,issue,"Thank you.",""
Account Setup & Verification,Account Verification Issues,"Ok.",""
"Account Setup & Verification","Unable to verify my account","Are you serious? That's the issue?  It's just a simple typo!  I don't understand why it took so long to figure this out!  I'm going to miss my flight because of this!","We apologize for the delay.  I have updated your address and completed the verification process. You should now have full access to your account. Please let me know if you have any other questions or concerns.  Have a good day."
"Account Setup & Verification","Unable to verify my account","Thank you.","You're welcome. Is there anything else I can help you with today?"
"Account Setup & Verification","Failed International Transaction", "Thank you.",""
"Transaction Failed","International Transfer Failed - Insufficient Funds (Incorrect Balance Display)" ,"Thank you."," "
"Transaction Failed","My transaction failed! I was trying to pay my rent, and now it says the transaction failed! This is crazy! My landlord is going to be on my case, and I can't afford to be late! What's going on?"
"Security issue? What security issue! I've never had any problems before! This is a scam! I'm not giving you my personal information. Just process the damn transaction!","I understand your concern, but to verify your identity, we require this information. This is a standard security measure to prevent fraudulent activity and ensure the safety of your account. Please understand this is for your protection."
"Thank you! I hope this doesn't happen again.  I need to be able to rely on your service, especially when it comes to important payments.","I understand, [User Name]. We are working on improving our system's reliability to prevent these situations in the future. Please let me know if you have any other questions or concerns. Have a good day."
"Transaction Failed","I am not giving you my personal information. This is outrageous! I am going to report this to the RBI!","I apologize for any inconvenience this may be causing. We understand your concerns about security, but this is a standard procedure for international transfers. We are committed to protecting your account and ensuring your transactions are secure. Would you be willing to provide the requested details for verification?"
"Transaction Failed","I will not give you my information.  This is the last time I use your service. I'm going to switch to another bank. This is unacceptable!","We value your business and understand your frustration.  To expedite the process, would you be willing to provide the requested information through a secure video call with a customer service representative? This allows us to verify your identity without sharing any sensitive details over chat. "
"Transaction Failed","Fine, but I am not happy about this. I don't trust your system. Do this quickly!", "Thank you for your understanding.  A customer service representative will connect with you shortly through a video call to verify your identity.  We'll do our best to get your transfer processed as soon as possible."
"Transaction Failed","Okay, connect me now!","Connecting you with a customer service representative now. Please be ready for the video call. "
"Transaction Failed","It has been 10 minutes, where is this call? I am tired of waiting. My daughter is in the US waiting for the money!","We apologize for the delay.  Please hold on while we check the status of your call. "
"Transaction Failed","Unable to send money internationally - failed transaction", "Thank you.", ""
Theme name,issue,"Thank you.",""
Account Closure & Deactivation,I'm going to file a complaint! This is unacceptable! You've wasted my time and haven't even tried to help me! I'm done with your bank!,"I understand your frustration, [User Name]. I'm sincerely sorry that you feel this way. Please allow me to connect you with a manager who can assist you further and try to understand your situation better. We value your feedback and strive to improve our customer service experience."
Account Closure & Deactivation,"Just connect me with a manager! I'm not wasting any more time with this!","Certainly, [User Name]. Please wait while I connect you with a manager who can help you with this. We appreciate your patience and will do our best to resolve your issues. "
Theme name,issue,"Thank you.",""
Account Closure & Deactivation,Account Closure, "That's all. I'm done with you. I'll be watching for that money!" , "You will receive a confirmation email once your account closure is complete. Please let us know if you have any other questions. Have a good day."
Account Closure & Deactivation,Account Closure, "I will.","You are welcome. Thank you. Goodbye."
Theme name,issue,User,Chatbot
